//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
//FERIR DARK RAVEN
6856        32002         3            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         4            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         5            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         3            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         4            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         5            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         6            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         7            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         8            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         9            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         9            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         9            0              0.82		0.09	 0       2.0        0.0         0.0
6856        32002         10            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         13            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         20            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         21            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         26            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         27            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         31            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         33            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         34            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         35            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         36            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         37            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         41            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         42            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         43            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         44            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         45            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         49            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         50            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         51            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         52            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         42            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         43            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         22            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         22            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         23            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         23            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         28            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         28            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         29            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         29            0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         3             0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         4             0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         5             0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         6             0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         7             0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         8             0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         9             0             0.82		0.09	 0       2.0        0.0         0.0
6856        32002         10            0             0.82		0.09	 0       2.0        0.0         0.0

//FERIR ARMAGEDON
6859        32002         3            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         4            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         5            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         3            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         4            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         5            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         6            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         7            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         8            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         9            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         9            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         9            0              0.82		0.09	 0       2.0        0.0         0.0
6859        32002         10            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         13            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         20            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         21            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         26            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         27            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         31            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         33            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         34            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         35            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         36            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         37            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         41            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         42            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         43            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         44            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         45            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         49            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         50            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         51            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         52            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         42            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         43            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         22            0             0.82		0.09	 0       2.0        0.0         0.0
6859        32002         22            0             0.82		0.09	 0       2.0        0.0         0.0
