00:09:39 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:35:56 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:47:29 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
00:48:55 [AccountInfo] Account connected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:15:09 [AccountInfo] Account disconnected (Account: ziza, IpAddress: 192.168.0.105, GameServerCode: 0)
01:15:23 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
01:42:22 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
02:29:12 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
02:29:37 [AccountInfo] Account disconnected by clear (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
02:30:17 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
02:47:09 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
13:12:46 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
13:20:04 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
13:58:10 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
14:34:38 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:39:43 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:43:14 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:44:39 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:45:54 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:50:31 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:51:55 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:52:03 [AccountInfo] Account connected (Account: zeus, IpAddress: 192.168.0.105, GameServerCode: 0)
16:52:04 [AccountInfo] Account disconnected (Account: zeus, IpAddress: 192.168.0.105, GameServerCode: 0)
16:52:59 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:53:06 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:55:25 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
16:55:30 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:04:59 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:05:09 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:10:57 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:11:03 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:21:50 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:21:50 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:23:15 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:23:21 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:24:41 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:24:46 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
17:26:40 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
17:26:52 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
19:37:33 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
20:04:41 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
20:47:29 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
20:47:30 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
20:50:13 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
20:55:31 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:09:35 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:10:02 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:11:12 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:11:23 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:15:34 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:16:06 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:35:42 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:35:48 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:37:58 [AccountInfo] Account connected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:39:13 [AccountInfo] Account disconnected (Account: 1235, IpAddress: 192.168.0.105, GameServerCode: 0)
22:51:25 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
23:02:12 [AccountInfo] Account disconnected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
23:49:11 [AccountInfo] Account connected (Account: 1234, IpAddress: 192.168.0.105, GameServerCode: 0)
