//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
14          9      0       1     0       0      0        0	0	0	0	255	255	255	255	255
14          10     0       1     0       0      0        0	0	0	0	255	255	255	255	255
13          16     1       1     0       0      0        0	0	0	0	255	255	255	255	255
13          16     9       1     0       0      0        0	0	0	0	255	255	255	255	255
13          17     1       1     0       0      0        0	0	0	0	255	255	255	255	255
13          17     9       1     0       0      0        0	0	0	0	255	255	255	255	255
14          17     1       0     0       0      0        0	0	0	0	255	255	255	255	255
14          17     9       0     0       0      0        0	0	0	0	255	255	255	255	255
14          18     1       0     0       0      0        0	0	0	0	255	255	255	255	255
14          18     9       0     0       0      0        0	0	0	0	255	255	255	255	255
13          29     0       1     0       0      0        0	0	0	0	255	255	255	255	255
end
