//Section   Type   Level   Dur   Skill   Luck   Option   Excellent
7           1      9       0     0       1      1        0	0	0	0	255	255	255	255	255
8           1      9       0     0       1      1        0	0	0	0	255	255	255	255	255
9           1      9       0     0       1      1        0	0	0	0	255	255	255	255	255
10          1      9       0     0       1      1        0	0	0	0	255	255	255	255	255
11          1      9       0     0       1      1        0	0	0	0	255	255	255	255	255
0           9      9       0     1       1      1        0	0	0	0	255	255	255	255	255
0           11     9       0     1       1      1        0	0	0	0	255	255	255	255	255
0           15     9       0     1       1      1        0	0	0	0	255	255	255	255	255
0           13     9       0     1       1      1        0	0	0	0	255	255	255	255	255
0           12     9       0     1       1      1        0	0	0	0	255	255	255	255	255
0           14     9       0     1       1      1        0	0	0	0	255	255	255	255	255
4           12     9       0     1       1      1        0	0	0	0	255	255	255	255	255
3           8      9       0     1       1      1        0	0	0	0	255	255	255	255	255
3           9      9       0     1       1      1        0	0	0	0	255	255	255	255	255
4           5      9       0     1       1      1        0	0	0	0	255	255	255	255	255
4           13     9       0     1       1      1        0	0	0	0	255	255	255	255	255
end

