/////////////////////////////////////////////////////////////////////////////
//NPC NAME - 009 - Eo the Craftsman
/////////////////////////////////////////////////////////////////////////////
//Index Type   	Level   Dur   	Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
4	0	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Short Bow
4	1	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Bow
4	2	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Elven Bow
4	3	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Battle Bow
4	16	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Saint Crossbow
4	17	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Celestial Bow
4	19	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Great Reign Crossbow
4	20	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Arrow Viper Bow

4	7	3	255	0	1	4	0       0       0       0       255     255     255     255     255	//Bolt
4	15	3	255	0	1	4	0       0       0       0       255     255     255     255     255	//Arrow

1	4	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Elven Axe
6	16	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Elemental Shield

14	3	0	50	0	0	0	0       0       0       0       255     255     255     255     255	//Large Healing Potion
14	6	0	50	0	0	0	0       0       0       0       255     255     255     255     255	//Large Mana Potion
13	0	11	255	0	0	0	0       0       0       0       255     255     255     255     255	//Guardian Angel
13	1	11	255	0	0	0	0       0       0       0       255     255     255     255     255	//Imp
end
