/////////////////////////////////////////////////////////////////////////////
//NPC NAME - 000 - Hanzo the Blacksmith
/////////////////////////////////////////////////////////////////////////////
//Index Type   	Level   Dur   	Skill   Luck   Option   ExcOp	SetOp	JoH	OEx	Socket1	Socket2	Socket3	Socket4	Socket5
7	5	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Leather Helm
7	0	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Bronze Helm
7	6	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Scale Helm
7	9	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Plate Helm
8	5	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Leather Armor
8	0	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Bronze Armor
8	6	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Scale Armor
8	9	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Plate Armor
9	0	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Bronze Pants
9	6	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Scale Pants
9	9	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Plate Pants
9	5	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Leather Pants
10	0	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Bronze Gloves
10	6	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Scale Gloves
10	9	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Plate Gloves
10	5	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Leather Gloves
11	0	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Bronze Boots
11	6	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Scale Boots
11	9	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Plate Boots
11	5	9	255	0	1	1	0       0       0       0       255     255     255     255     255	//Leather Boots
12	12	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Orb of Rageful Blow
12	13	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Orb of Impale
12	14	0	0	0	0	0	0       0       0       0       255     255     255     255     255	//Orb of Greater Fortitude
12	19	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Orb of Death Stab
12	44	0	0	0	0	0	0       0       0       0       255     255     255     255     255	//Crystal of Destruction
0	13	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Double Blade
0	11	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Legendary Sword
0	6	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Gladius
1	2	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Double Axe
0	16	9	255	1	1	1	0       0       0       0       255     255     255     255     255	//Sword of Destruction
13	0	11	255	0	0	0	0       0       0       0       255     255     255     255     255	//Guardian Angel
12	7	0	255	0	0	0	0       0       0       0       255     255     255     255     255	//Orb of Twisting Slash
13	1	11	255	0	0	0	0       0       0       0       255     255     255     255     255	//Imp
12     12       0       255     0       0       0       0       0       0       0       255     255     255     255     255 //Earth Break (Blade Knight) 
12      16      0       0       0       0       0       0       0       0       0       255     255     255     255     255      //Fire Slash
end
