//|================================================================|
//| Zythe CashShop Editor                                          |
//| Credit: Zyth3/louis                          [skype:tec-facil] |
//|================================================================|
//ID	Number	Value	Item	Level	Skill	Luck	Option	ExOpt	AncOp	JOH	Oexe	Socket1	Socket2	Socket3	Socket4	Socket5	Qtd	Duration	Comment
1000	1000	3000	6180	15	1	1	7	31	0	0	0	255	255	255	255	255	0	0	// Wing of Storm (1 UN)
1010	1010	350	3584	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Bronze Helm (1 UN)
1020	1020	350	3585	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Dragon Helm (1 UN)
1030	1030	350	3586	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Pad Helm (1 UN)
1040	1040	300	3587	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Legendary Helm (1 UN)
1050	1050	300	3588	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Bone Helm (1 UN)
1060	1060	300	3589	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Leather Helm (1 UN)
1070	1070	280	3590	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Scale Helm (1 UN)
1080	1080	280	3591	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Sphinx Mask (1 UN)
1090	1090	280	3592	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Brass Helm (1 UN)
1100	1100	280	3593	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Plate Helm (1 UN)
1110	1110	320	3600	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Black Dragon Helm (1 UN)
1120	1120	320	3601	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Dark Phoenix Helm (1 UN)
1130	1130	320	3602	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Grand Soul Helm (1 UN)
1140	1140	400	3605	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Great Dragon Helm (1 UN)
1150	1150	400	3606	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Dark Soul Helm (1 UN)
1160	1160	300	3609	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Light Plate Mask (1 UN)
1170	1170	350	4096	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Bronze Armor (1 UN)
1180	1180	350	4097	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Dragon Armor (1 UN)
1190	1190	350	4098	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Pad Armor (1 UN)
1200	1200	300	4099	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Legendary Armor (1 UN)
1210	1210	300	4100	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Bone Armor (1 UN)
1220	1220	300	4101	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Leather Armor (1 UN)
1230	1230	280	4102	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Scale Armor (1 UN)
1240	1240	280	4103	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Sphinx Armor (1 UN)
1250	1250	280	4104	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Brass Armor (1 UN)
1260	1260	320	4105	15	1	1	7	63	0	0	0	255	255	255	255	255	255	0	// Plate Armor (1 UN)
